name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
Harlequin,27 Arlington Way,London,Finsbury,Islington,,,E09000019,Clerkenwell,E05000370,531467.0001,182944.0001,-0.104522782,51.52960001,03/20/2022,££
Peasant,240 St John Street,London,Finsbury,Islington,,,E09000019,Clerkenwell,E05000370,531676.0001,182495.0001,-0.101679104,51.5255159,03/20/2022,££
Blues Kitchen,134 Curtain Road,London,Shoreditch,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,533290.0001,182597.0001,-0.078386095,51.52605392,03/20/2022,£££
Caraway Lounge,290 North Street,Romford,,Havering,,,E09000016,Brooklands,E05000306,550626.0001,189606.0001,0.174363557,51.58467822,03/20/2022,££
Rye,31 Peckham Rye,Peckham,London,Southwark,,,E09000028,Rye Lane,E05011113,534483.0001,175739.0001,-0.063811388,51.46413565,03/20/2022,££
Eleven,5 Fernlea Road,Balham,,Wandsworth,,,E09000032,Balham,E05000610,528788.0001,173166.0001,-0.146693657,51.44233472,03/20/2022,£
Royal,Boston Road,Hanwell,,Ealing,,,E09000009,Northfield,E05000182,516257.0001,179033.0001,-0.3250016,51.49778281,03/20/2022,£
Bitter End Bar,139 Masons Hill,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540989.0001,168298.0001,0.026833438,51.39568001,03/20/2022,£
Hope,3 Melon Road,Peckham,London,Southwark,,,E09000028,Peckham,E05011110,534065.0001,176723.0001,-0.069452445,51.47307849,03/20/2022,££
Blues Kitchen,40 Acre Lane,Brixton,,Lambeth,,,E09000022,Ferndale,E05000421,530674.0001,175157.0001,-0.118833503,51.45979724,03/20/2022,£££
Richmal Crompton,23 Westmoreland Place,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540356.0001,168677.0001,0.017889537,51.39924309,03/20/2022,£££
Partridge,194 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540199.0001,169278.0001,0.015871393,51.40468316,03/20/2022,£££
Bar Sport,196-198 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540199.0001,169278.0001,0.015871393,51.40468316,03/20/2022,£
Havet,195-199 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540169.0001,169377.0001,0.015479447,51.4055803,03/20/2022,££
Greyhound,205 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540116.0001,169415.0001,0.014732883,51.40593491,03/20/2022,£
Star & Garter,227 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540068.0001,169466.0001,0.01406329,51.40640511,03/20/2022,££
Swan & Mitre,260-262 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540035.0001,169458.0001,0.013585933,51.40634136,03/20/2022,££
Metropolis,256A High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540035.0001,169458.0001,0.013585933,51.40634136,03/20/2022,££
Barrel & Horn,204-206 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540135.0001,169361.0001,0.014984566,51.40544491,03/20/2022,£
O'Neill's,27-29 East St,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540291.0001,169450.0001,0.017261385,51.40620618,03/20/2022,£
Railway Tavern,45 East Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540327.0001,169526.0001,0.017808761,51.40688029,03/20/2022,£
